tupi,portugues
Al,mal.
AÍ,vo
AÍ,"onomatopaica com que se designava a pre guiqa, mamlfero da familia dos bradipodideos."
Al!,na linguagem dos homems e das mulheres: itú nha mae! Senhoral 2 M
Al!,ano!
AlA,"papada, papo."
AlA,"ãcido, azedo."
AIa,dente.
AlA-QY,"ãcido, acre, azedo, de cheiro forte."
ÃlA-POS,"canino, presa (dentes)."
AIA-PuS,"canino, presa (dentes)."
A-l-AR-A,"intransitivo: la. pessoa do singular de ""ara"": qair, embarcar, nascer. 0 ""I"" é eufonico."
Al-ARYÍA,avó.
AIBA,"estragado, irÍpraticãvel, ruim (moralmente) mal. mau,"
AlBA,"1 brenhas, matagal. 2 Afliijao. Adjetivo: 1 aflito. 2 Velho."
AIB-ARA,a parte de cima da brenha.
AI-BARA,dentes desencontrados.= ai-ioara.
Al-BA' -U,"banguela, sem dentes.=ai-ma-u."
AIB-É,nome de uma concha bivalve.= mapé.
AIB-É,"coitado, desprezlvel, vil.= aib'-I."
AIB-ETÉ,logo.
AIB'-I,"coitado, desprezlvel, vil.= aib-é."
AI-BI'-RY-RYÍA,"risonho. Literal: gengivas trému 1as. A duplicação é de realce de continuidade,"
Xl-BI'-TIR-A (XE),transitivo: arreganhar os dentes.
AlB-ó,"transitivo: agourar, prognosticar."
AI-BORA,dentada (marca).
Al-<JABA,"risco, trago."
AIQó,bem feito.
AI-gY-YRA,"tia materna. Em guarani é ""h-al""."
AlÉ,"'atalho, corte. Pressa. Adjetivo: apressado. Advérbio: as pressas, assim é, certamen te, é verdade, sim."
AÍÉ-É,"transitivo: irregular: dizer que sim, dizer sim."
AlÉ-É-NHÉ,transitivo: consentir.
AlÉ-É-NHÉ-EYMA,transitivo: negar.= aan-é-nhé.
AÍÉ-R-E-BA,variedade de arraia.
AÍÉ-R-E-BA,"desimpedido, liso, raso, redon- do e igual."
AlÉ-R-E-BI,"liso, raso. a 1-GOERA. Substantivo: rebotalho."
Al-G0? RA,a parte de baixo -da brenha.
AlIA,colhereiro.
AI-IOARA,dentes desencontrados.= ai-bara.
AI-I-POAN,pronominal: adiantar-se.
AÍK-A,transitivo: anassar.
AIKÃ,". boto, cetãceo da familia dos plantanis- tãdeos e delfinideos, marinho e de ãgua doce."
AÍ-kOarA,o refúgio das preguigas.
ÃI. MA-U,banguela (sem dentes).=ãi-ba-u.
AI-MO-ANHAN-A,transitivo: afugentar.
AI-MO-KONG-A,"transitivo: engolir, papar."
AI-MO-UN-A,transitivo: tingir de preto.
ÃI-MYTERA,dente incisivo ou dianteiro.
Ã'-INGÃ•,"transitivo: quebrar os dentes de, fazer dentes em (ferramenta),"
Ã'-IN'-GUY-r 5I-Ã(XE),intransitivo: ranger os dentes.
AÍO,"bolsa, bolso, saco."
ÃI-OK-A,transitivo': descarogar.
AIPI,"enchova, peixe da familia dos pomatonl- deos, genero Pomatonus. _.,.."
AIPI-MIXIRA,"boaiao, peixe da fãlnllia dos esca rldeos, genero Scarus."
Al-PIXUNA,"preguiga escura, mamlfero da familia dos bradipodideos, genero Bradypus."
AÍPU-,"de aproximagão: esse(a) (s), isso, aquele(a) (s)."
AÍPó-BAE,"de aproximagão: esse(a)(s), aquele(a)(s), eis lã,"
AÍPC-BAN-A,"transitivo: fiar, tecer."
AlPó-CUÍ. Particulas agrupadas,"dali, de lã."
AlPó-PE,"de proximidade: ali, lã."
AIR-A,"transitivo: fazer inscrigoes em, riscar."
A-I-'RI,"miudo, pequeno."
AIRU-KATINGA,variedade de papagaio.
"AIRUR-0,","transitivo: riscar a boca,"
AIRY-KA-NDYBA t,sitio de palmeiras airi i
"AIRY-KANGA,",o coco do airi_
AIRY-KORÉ,o cacho
AIRY-KORÉ,"composto, multiplicado,"
A-Iu,"fibra, nervo, nervura."
A-lUA,liso. h-lUBA
A-IUBA-,"1 cabelo loiro ou ruivo, 2 Que_i xo. Adjetivo: maduro (fruto que fica amarelo)."
A-lUBENA,esposo da filha ou da subrinha paterna ou da filha do primo (filho de tio paterno).
"AlU-BYK-A,","transitivo: enforcar, enforcar-se, sufocar."
AlU-BIRA,"transitivo: levantar a cabega {o doen- te),"
AÍ-UQU,papo. Adjetivo: papudo.
"Al-OERA,",preguiga-ladina ou esperta
A-lUKA ST—},veia-
"A-IukA,","transitivo: amassar, sovar (a massa)"
A-IUKA-RAl,": oolar de dentes,"
A-lUKfi-UKÃR-A,transitivo: inandar matar.
A-IURA,pescogo.
A-IUR'-AR-A,"transitivo: 1 lagar (pelo pescogo), lagar (em geral). 2 Inclinar a cabega de fraqueza."
"A-lUR-i,","colo, pescocinho. 0 M i M é diminutivo, — anhur-i."
AlURU,"papagaio, ave da familia dos psitaci- deos, genero Amazona"
AlURU-APARA,variedade de papagaio
"AlURU-ETÉ,","papagaio grego, ave da familia dos pstacideos, genero Amazona, Literalmente: papagaio verdadeiro."
"AlRU-GOAgu,",papagalo-moleiro.
AlURU-IUBA,alcunha que os tupis davam ao fran cés e ao ingles Literalmente: papagaio dourado
AlURU-tUBA-KANGA,"variedade de papagaio,"
AlURU-KATINGA,"variedade de papagaio,"
AlURU-KURAU,"variedade de papagaio, da familia dos psitacideos, genero Psittacus."
AlURU-PY,"i cachaco, cervii:."
AlURU-PY,"Peciolo, talo."
AlURU-PY,"Gola,"
AÍURU-UÍBA-KANGA,variedade de papagaio.
"AlxE,","irma ou prima do pai, tia paterna."
AIXO,"irregular: sogra do homem. Prefere o indice ""g-” na 3a. pessoa."
AlYBA,"queixo (de gente), queixada (de animai)."
AlY-BENA,esposo da filha ou da sobrinha paterna ou da filha do primo (filho do tio pater - no).= axy-mena
"A-lYKA,","duro, rijo."
A-lYKA,"nervo, veia."
AK,"de aproximacao: este(a)i(sã, isto, eis aqui, eis que ji."
AKA,"chifre, esporao, ponta. 2 0 espremido, sumo. Adjetivo: amargo."
AKA(XE>,predicativo: amargar.
AKA,"galho, ramo."
AKAB-A,"transitivo: brigar com, censurar, gritar com."
AKA^ANGA,"duvidoso, indeciso."
AKAiE,espécie de gaviao.
AK-AE,de aproximacão: aquele(a) (s) mesjao(a) (s).
AKA. Í 1,: ó! ai!
AKAlA,"madre, utero."
AKAI-A,transitivo: tocar.
AKA-I-ARA,o que é chifrudo ou potente em chi-
AKA-I-ARA,res.
"AKAlU. Botãnica:! variedade de mogno. 2 Caju, fruto do caju- eiro, da familia das anacardiãceas, gênero Anacar - dium",1 ano 2 Cauim ou vinho feito com o caju.
"AKAlU-AKA. IA,",castanha do caju.
AKAÍU-TÍ,castanha de caju.
AKAlU-TEBIRO,caju estragado.
A. KA. IU-TYBA,cajueiral.
AKAlU-Y,vinho de caju.
AKAKA. B-A,"transitivo: censurar, repreender."
AJÍA-MBU-ACABA,tfita.
AKA-MBU-AR-A,"transitivo: enastrar, enlacar, entre- lagar."
AKA-MBY,J vão entre as pernas. 2 Forquilha.
AKA MBYRA,"galho, rarao."
AKA-MOMBY-QYK-A,"transitivo: enastrar, entrelacai# eniapar."
AKA-MUNDUKA,febril.
A-KANGA,cabeq: a.
A-KAN'-GÃ,transitivos quebrar-a cabeça. Tra- ta-se da composiqao de a-kanga
A-KAN'-GÃ,"kã, com abranda - mento do ""k"" em ""g""}."
A-KANGA-QOIABA,carapuga de penas.
A-KANGA-QOIABA,Chapéu.
A-KANGA-QY,dor de cabega.
A-KANGA-GÚA,"cabega, saliéncia. Adjetivo: ca- bequdo, saliente."
A-KANGA-GÚA,"cacete, clava, maga, porrete."
A-KANG'-AIBA,cabelo crespo.
A-KANG'-aOba,carapuija. t Touca.
A-KANG'-AOB'-U-RUPÉ,chapéu.
A-KANGA-OlÉ-PEPIRA,chapéu.
A-KANGA-O-RUNG-A,t
A-KANGA-O-RUNG-A,ansitivo:
A-KANGA-O-RUNG-A,por touca em.
A-KANGA-PÉ,o cancro.
A-KANGA-PIXAÍ,carapinha.
A-KANG-PIXUNA,carapinha.
A-KANG-PIXUNA,pixai.
A-KANGA-T-ARA,cocar.
A-KANG'-AYBA,"cabega mã, doido."
A-KANG-É-KYl-A,"transitivo: arrancar os cabelos de, puxar os cabelos de."
A-KANG'-I-APÉ,crãneo.
A-KANG'-I-T-ARA,"cocar, diaderaa."
A-KANG'-I-U-T-ARA,cocar.
A-KANG'-NHÉ,pronominal: perder-se.
A-KANG'-OK-A-,transitivo: cortar ou arrancar os cabelos de.
A-KANG-UQU,"cabega grande, cabegudo, cabega desgrenhada.: Nome de chefe."
A-KANG'-ÚERA,caveira. Literalmente: cabega que foi.
A-KANG'-ÚERA,variedade de gavião.
A-KANG'-U-PABA,cabeceira.
A-KANG'-U-PABA,"Almofada, travesseiro."
A-KANG'-U-YRA,"descorogoado, imobilizado de de- sãnimo, inerte."
A-KA'-NHEM,intransitivo: perder-se.
A-KAN'-NHINANA,"a adoidada, a agitada, a de"
A-KAN'-NHINANA,- lirante.
AKA-nuNDU',intransitivo: ter febre.
AKA-NUNDU'-BORA,"febricitante, fébril."
AKA-NUNDUKA,febril.
AKAPÉ,"1 chapa, pedago, posta.? Barriga, parede abdominal, ventre"
AKAPÉ,"3 Mancha (de coisa exter na, como mato, campo, chao, madeira, carne, couro)."
AKA-PORA,! o que esta dentro do chifre. 2 Sabu- go de milho.
AKA-PYRA,"ponta (de ãrvore, vara, etc.)."
AKARA,"carã, peixe da familia dos ciclideos, gênero Geophajus."
AKARA-AIA,"peixe-cao, da familia dos caracideos vãrios gêneros, como Acestrorhamphus. é"
A-KARAI-A,"transitivo: 1 cortar o cabelo de, tosquear. 2 Roer osso."
AKARA-MUKU,"peixe-porco, da familia dos mona- cantideos, gênero Monacanthus."
AKARA-PARAGOA,"variedade de carã, por alguns chamado de acaré-papagaio."
AKARA-PE,Nos acarãs.
AKARA-PÉ-AgABA,"variedade de sargo fluvial, da familia dos pomadasideos, gênero Anisotremus."
AKARA-PEBA,variedade de carã.
AKARA-PINIMA,variedade de salema.
AKARA-PITANGA,variedade de carã.
AKArA-PIXUNA,variedade de carã.
AKARA-PUKU,"acarã comprido, longo ou esguio."
AKARA-TINGA,variedade de carã.
AKARA-XIXA,"ãspero grosso, rugoso."
"AKARA-UNA,",variedade de acars.
AKARÃ-Y,2 rio dos acarãs.
AKARA-Y-EMBó,o arroio dos acarãs ou carãs.
AKAR'-I,"acarã pequeno, da familia dbs cicll- deos, gênero Loricaria."
A-KATU,Jxitransitiva:; sair bem.
A-KA'-TYRA,"capelo de ave, topete."
AKAYÃ,"macuco,, ave da familia dos falquinldeos gênero Herpetoteres. A lendadi"
AKAYÃ,que ela se apodera do esplrito das mulheres e as obriga a cantar com ela as 'trés sllabas dei' seu nome.
AKA-I,rio da
AKA-I,"riga, rio da rixa."
AKÃY-Ã,"1 o fruto de caroqo cheio ou graúdo, fruto que é todo carogo. 2 Cajã, fruto da cajazeira, ãrvore da familia das anacardiãceas."
AKfii,: 5!
AKÉ-KE,variedade de formiga.
AKIRÃ,"cata-piolho, nome vulgar do dedo pole gar."
AKó,"de aproximacao: este (a) (s), isto, eis aqui.= akue."
AKó-ABA,: pelo do pubis (principalmente feminino). 2 Pubis. Adjetivo: pubere.
AKó-ABA(XE),intransitivo: pubescer.= akó-ab'- amo.
AKó-ABÃ-MO (XE): pubescer. = akó-u-ramo,intransitivo:
AKó-AÉ,de aproximaqao: aquele mesmo.
AKó-AKó-KUECÉ,antes de anteontem.
AKó-AYKHA,ingua das virilhas.
A-KOK—A,transitivo: 1 fazer bolotas. 2 Abra- gar a cabeça de.
AKó-KUEQÉ,anteontem.
AKORóI-A,coalhado.
AKó-TI,": cutia, (animal que se assenta para comer), da familia dos dasiproctideos, genero Dasyprocta."
AKó-TI-PURA,":' esquilo ou caxin- gulé, roedor da familia dos ciurideos, gênero Sciu- rus."
AKó-TI-R-ANHA,dente de cutia.
AKó-U-RAMO (XE),intrans-itivo: pubescer. =akã-abã-mo.
AKUÃ,"a ponta, a esquina."
AKUÃlA,"penis, partes sexuais do homem."
AKUÃI' AÍBA,cancro.
AKUÃI' BAÉ,macho.
AKUÃI' PYTÃ,pubis (linguagem dos homems).
AKUARA,febre. Adjetivo: febril.
AKUARA(XE),factivo: estar com febre.
AKUBA,"calor ou febre (de gente), quentura (de animal).,"
AKUBA,"factivo: ser quente, estar com febre, ter ' febre."
