tupi,portugues
AB'-AIBA.,"confuso, dificil, facil, ingreme, trabalhoso."
ABA-ITE.,"homem disforme, homem medonho, homem temeroso, homem terrivel."
ABA-I-xOARA,mao de pilao.
ABA-KANHEMA.,"o homem que foge, o fugitivo."
ABA - KANHEMB-ARA.,"o homem que foge, o fugitivo"
ABA-KARU.,"homem comedor, homem guloso."
ABA-KATU-A-ABA.,"peixe-galo, da familia dos ca rangideos, genero Seleno."
ABA-MBAE,interrogativo: possessivo: de quem?
ABA-MBAE—0,"homem comedor, homem guloso."
ABA-MBI.,relativo: quem.
ABA-MEMUA.,homem trapaceiro.
ABA-MOKOIA.,segundo homem.
ABA-MONDA.,homem ladrao.
AB'-ANG'-ABA.,"acovardadq, desanimado, descoroçoado."
AB'-ANG'-AlBA.,homem desprezivel.
AB' -AN'-GATU.,"gentil-homem,. homem corte"
AB' -AN'-GATU.,", ho- mem distinto."
ABA-NHAND - -ABAi,a corrida.
ABA-NHE.,"homem civil, homem leigo. aba-nheen"
ABA-NHEEN 1 ,fala ou lingua de gente. 0 tupi.
ABA O-KANHEM-BAE.,"c homemi que foge, o fugitivo-"
ABA PANEMA.,"1 indio comedor de gente, antropofago. 2 0 homem que espia, espiao."
ABA-pOera,: o homem que foi
ABA-PYA.,entranhas do homem.
ABA-PYRA.,relativo: quem.
ABA-R-A.,o cabelo ou pelo variegado ou manchado.
ABA-R-ABA,malhado ou manchado (cabelo ou pe- lo) -
ABA-RAMbOeRA.,: o homem que havia de ter sido. Em guarani e ‘'aba-ranguera
ABA-RAMbOeRA.,1
ABARANA.,coisa que parece.
ABA-R-E.,"amigo da gente, pessoa diferente, pes- soa sobrenatural t Padre."
ABA-R-E-GUAgu,"'t Bispo, prelado."
ABA-R-E MANDUARA.,t a memoria ou recordaçao do Padre.
ABA-R-E-BEBE.,o Padre que voa.
ABA-R-OKA,"a casa do indio,"
ABA-R-IYRA.,sobrinho do indio.
ABA-TI.,"os cabelos brancos ou aloirados, E cons truqao de ""aba"" 4- ""tinga”, passando por ""aba-tl""."
ABA-TI.,"os cabelos brancos,"
ABA-TINGA.,"os cabelos brancos,"
ABA-TIN-I,"o milho, roca de milho, farinha feita ou tirada do milho."
AB 1 -ATIRA,"os cabelos erguidos em topete, cabe- los amontoados,"
ABA-TI-TYBA.,"lugar do miiho, milharal."
ABA-TI-Y.,vinho do milho.
ABA-TUTYRA.,tio materno do indio.
ABA-U-gANGA.,os cabelos soltos ou desgrenhados.
ABA-UNA.,os cabelos pretos.
ABA-UNA,"o homem negro, o preto."
ABA-YBA,"futuro esposo, namorado, noivo,"
"ABE, Particula subordinativa temporal; ao mesmo tempo em que, apenas, assim, desde que","juntamente, logo depois de"
"ABE, Particula subordinativa temporal; ao mesmo tempo em que, apenas, assim, desde que","logo que, simultaneamente. Supre a traduqao de ""logo gue"", ""depois que 1!, ""enguanto 11 ou a conjungap ""e"", que nao existe no tupi. Serve, pois, de conectivo."
AB -EBO.,"cabelo erigado, grenha. Adjetivo: apressado,"
AB'-EgA-KANGA.,cabelo ralo.
"AB""-EKYI-A.",transitivo: puxar ou arrancar os cabelos de
"ABE-RAMEI. Adverbio: como, parecer com. = ""ramei-be",1
AB~-I.,"a agulha, o cabelinho. 0 ""i"" neste caso e diminutivo.)."
AB'-I-Iu,"1 frisa, lanugem,. penugem, raspa. 1 Aspereza (de pano, de madeira)."
AB'-I-IU-POO.,' transitivo: desfiar.
ABI-R-U.,"cheio, farto, repleto."
AB'-IU.,transitivo: catar a cabeça de.
AB'-OO.,"1 aspereza (de pano, de madeira). 2 Lanugem; penugem."
AB'-OO (I-),"transitivo: arrancar os pelos ou as penas de, depenar, pelar a cabega de."
ABOY.,minhoca.
AB'-UNA.,cabelo preto. 2 0 negro.
ABURA.,"respiraçao solta, o resfolego."
AB$-ARA.,"aquele que erra. =""aby-gara""."
ABY-I,"transitivo: errar, naoacertar em, transgredir."
ABYAKA.,"bodum, cheiro de -suor ou de roupa suja,- fedor. Adjetivo: fedorento (a mofo ou a suor)"
ABYAK-A,"intransitivo: cheirar a mofo ou a suor, feder."
ABY-BYRA (XE),"reflexivo: arrepiar-se de'frio, arrepiarem-se os cabe, los."
ABY-gARA.,aquele que erra.
ABYKY.,"transitivo: escovar, pentear, tocar, apalpar, manusear."
ABYKY-ABA.,carda.
ABYR-A EYMA.,"semelhante,"
ABYR-A-R-U.,"bolorento, mofado, umido. k k k. k"
AQABA-,"recepgao, tomada,"
"AQABA- Particula de tempo, modo","lugar, meio, fim, etc< de tomar•"
AQAB-A,"transitivo: atravessar, passar, riscar o corpo de tinta"
AQAB-A,transpassar.
A^AB-A-PE.,transitivo: relativo: passar para (raro
A-gANGA.,"curto, rechonchudo."
A-gANG' UgU.,rechonchudo.
AgAPABA.,"passagem, travessia."
A-gARA',"o que recebe, recebedor."
AgE.,"possessivo: da gente, de todos nos."
AgE-AgE,intransitivo: vociferar. A duplicaçao e de realce da açao.
AQE-AgEMA.,gritaria.
AQE-ANGA.,"a sombra da gente, a nossa sombra."
Agfi-BE.,"pessoal: das 1as. pessoas, regido de preposiçao dativa: a gente, a nos todos."
AQE-BO.,"pessoal: das 1as. pessoas, regido de prepos_i gao dativa: a gente, a nos todos."
AgEMA,grito.
AgEM-A(XE),intransitivo: gritar.
A-gEM-A.,"intransitivo: sair. 0 ""g"" e tematico."
AgE-OKA.,"garganta, goela."
AgE-OKA-AIA.,"ceu da boca, palato, uvula,"
AgE-O-KYTA.,"garganta, goela, no da garganta, pomo de Adao."
AgE-O-PYAIA.,"ceu da boca, palato, uvula."
AgiAB-A.,"transitivo: dividir, partir."
A-gO-CE.,"a abundancia, o que avulta."
Agol,"transitivo: abrigar, cobrir, tampar, tapar."
AgOABA.,carapuga de penas.
AgOABA.,"abrigo, co bertura, manto,"
AgolAB'-OK-A.,"transitivo: descobrir, destampar, tirar a tampa."
Ag'-OKA.,nome de varios vermes que se de- sen
Ag'-OKA.,"Dlvem em frutas, em carne."
Agu,"a esquerda, lado esquerdo, mao esquerda."
Agu,1 grande e grosso. 2 Canhoto.
AgUB-A.,amor.
A-gU-gURA.,"coalhado, cheio de coalho. A duplicaçao e de realce.= ""a-QU-qur-i""."
A-gu-gUR-I.,"coalhado, cheio de coalho. A duplicaQao e de realce."
A-gURA.,"altibaixo, corcova, lobinho, lombada."
Agu-REMA.,Veado catinguento.
A-gUR-I.,"coalhado, cheio de coalho.- A-Qura."
A'- QU-U.,"transitivo: morder a cabeQa de, morder sem mastigar,"
AQY.,"dor. Adjetivo: dolorido, penoso."
AgY(XE) {QUI},"intransitivo: de Pronome: paciente: doer, doer a (com ou sem o Sufixo: ""gui). Verbo: tran sitivo: pesar. Verbo: factivo: ser dificil, ser tra- balhoso. Admite as vezes a incorporaçao do sujeito."
AgY.,transitivo: (s6 na 3a. pessoa): pesar a.
AgiAB-A.,"retransitivado: cortar, dividir, partir. "" 0-i-acyab""= cortou em pedagos."
AQYB-A.,transitivo: cortar o cabelo.
AQYKA.,"1 fatia, peda<jo, 2 Maneta."
AQYK-UERA.,"1 fatia, pedago, posta. 2 Em lingua gem figurada: irmao ou irma."
A-QYMA.,"coisa lisa e arredondada, escorregadio, liso."
AQYP-ABA.,corte de cabelo.
A-QYRA.,"altibaixo, corcova, lombada.= ""a-gura""."
AQY-R-O,moido de cansaço ou de dor. •k k ifc
AE.,"parte mortal, parte vital."
AE.,"outro, outrem, diferente. Pode funcionar co- mo conjungao dubitativa: mas, se nao."
AE. Particula. Tem varias funçoes,"conjuntiva: e. Em tupi nao ha. coordenativa mas ""ae"" aparece abrindo periodos que tem conexao com os anteriores? demonstrativa de aproximaçao de coisa que nao se esta vendo: aquele(a)(s), mesmo, aquilo, ele proprio. 3 condicional negativa: nao fos se, se nao fosse... 4 Complementar de oraqoes pre- dicativas, com substantivos, ou, as vezes, com pro- nomes. E a unica particula demonstrativa usada com as preposiçoes atonas."
AE-AE.,"pessoal: ele, mesmo(a), aquele(a)."
AEMBE•,"aspero. Na negativa: afiado, amolado."
Afi-MBfi,"transitivo: torrar (milho, etc.)."
AEMBE-fi,na forma negativa
AEMBE-E,"transitivo: afiar, agugar o fio de, amolar."
AEMBE-KOROIA,"aspero, saliente."
AE-PE.,"de aproximaçao:‘aX, entao, la, la mesmo, nele(a), naquilo"
A-ETE.,"aprimorado, fino, otimo."
"AG. Participio:. Forma naealada de ""ag"", pop sua vez a forma de ""^aba"" no futuro, no passado e no futuro-passa - do. Indica lugar, teinpo, modo, meio, fim, etc. de uma açao, cujo",a que se compoe da o signifi cado.
AGOA-^EM-A.,transitivo: achar.
A-GUA.,incha
A-GUA.,o com corrimento.
A-GUA-A.,"inchago com corrimento. 2 Concavidade, reentrancia, altibaixos."
AOUA-'CA.,"amante, bastardo, concubina."
AGUA-'uA-Y.,nome de um esplrito.
AGUA-I.,"cascavel, guizo. Botânica: variedade de fruto e arvore da familia das leguminosas, chamada cascaveleira ou feijao de guizos."
AGUAl-A.,"transitivo: morder com as gengivas, aboca - nhar."
A-GU-A-MIRANGA.,bracelete de penas. jp-GU-'ANA. Substantivo: bracelete de penas.
I-GU-A-PE-A-COKA.,"jagana, passaro da familia dos jacanideos, genero Jacana."
A-GOarA.,"cachorro-do-mato, da familia dos cani deos, genero Dusicyon."
A-GUARA-g-ABA.,esnecie de formiga.
A-GUARA-'CA-UQA.,variedade de caranguejo.
A-gOarA-GUACU.,lobo. Introducao lusa pelos cate quistas para entendimento de seus contos.
A-GUAflRl-A.,"intransitivo: brotar, germinar."
A-gOarA-KABA.,especie de forniga.
A-GU-ATE-O-PC-BO.,intransitivo: andar de gatinhas. 0 possessivo e serapre da 3a. pessoa.
A-GUE.,"distributivo: maedio, meio, um pouco me nos do que metade, pela metade. Substantivo: cin - tura."
A-GUE-A.,eixo. 2 Molar. a-gOe-A-pO-py
A-GOE-A PO-PY.,dente do siso.
A-GUERA.,cabeleira.
A-GOE-Y¡,6¡ ola¡.
A-GUYl,o¡.
A-GOy-A-GOY,intransitivo:
A-GOy-A-GOY,"cambalear ga, enjoo, embriague"
A-GOy-A-GOY,"). 2 Vibrar (vara,"
AHE!,o¡ upa¡ veja issol.= ahe'.
AHe!,6! upa! veja issol.= ahe! k ie k
AI.,vo
AI.,"onomatopaica com que se designava a pre guiqa, mamlfero da familia dos bradipodideos."
Al!,na linguagem dos homems e das mulheres: itu nha mae! Senhoral 2 M
Al!,ano!
AlA.,"papada, papo."
AlA,"acido, azedo."
AIa,dente.
AlA-QY.,"acido, acre, azedo, de cheiro forte."
AlA-POS,"canino, presa (dentes)."
AIA-PuS,"canino, presa (dentes)."
A-l-AR-A.,"intransitivo: la. pessoa do singular de ""ara"": qair, embarcar, nascer. 0 ""I"" e eufonico."
Al-ARYIA.,avo.
AIBA.,"estragado, irIpraticavel, ruim (moralmente) mal. mau,"
AlBA.,"1 brenhas, matagal. 2 Afliijao. Adjetivo: 1 aflito. 2 Velho."
AIB-ARA.,a parte de cima da brenha.
AI-BARA.,dentes desencontrados.= ai-ioara.
Al-BA' -U.,"banguela, sem dentes.=ai-ma-u."
AIB-E.,nome de uma concha bivalve.= mape.
AIB-E.,"coitado, desprezlvel, vil.= aib'-I."
AIB'-I.,"coitado, desprezlvel, vil.= aib-e."
AI-BI'-RY-RYIA.,"risonho. Literal: gengivas tremu 1as. A duplicaçao e de realce de continuidade,"
Xl-BI'-TIR-A (XE),transitivo: arreganhar os dentes.
AlB-o,"transitivo: agourar, prognosticar."
AI-BORA.,dentada (marca).
Al-<JABA.,"risco, trago."
AI-gY-YRA.,"tia materna. Em guarani e ""h-al""."
AlE,"'atalho, corte. Pressa. Adjetivo: apressado. Adverbio: as pressas, assim e, certamen te, e verdade, sim."
AIE-E.,"transitivo: irregular: dizer que sim, dizer sim."
AlE-E-NHE.,transitivo: consentir.
AlE-E-NHE-EYMA.,transitivo: negar.= aan-e-nhe.
AIE-R-E-BA,variedade de arraia.
AIE-R-E-BA,"desimpedido, liso, raso, redon- do e igual."
AlE-R-E-BI.,"liso, raso. a 1-GOERA. Substantivo: rebotalho."
Al-G0? RA.,a parte de baixo -da brenha.
AlIA.,colhereiro.
AI-IOARA,dentes desencontrados.= ai-bara.
AI-I-POAN.,pronominal: adiantar-se.
AIK-A.,transitivo: anassar.
AIKA.,". boto, cetaceo da familia dos plantanis- tadeos e delfinideos, marinho e de agua doce."
AI-kOarA.,o refugio das preguigas.
AI. MA-U,banguela (sem dentes).=ai-ba-u.
AI-MO-ANHAN-A.,transitivo: afugentar.
AI-MO-KONG-A.,"transitivo: engolir, papar."
AI-MO-UN-A.,transitivo: tingir de preto.
AI-MYTERA,dente incisivo ou dianteiro.
A'-INGA•,"transitivo: quebrar os dentes de, fazer dentes em (ferramenta),"
A'-IN'-GUY-r 5I-A(XE),intransitivo: ranger os dentes.
AIO.,"bolsa, bolso, saco."
AI-OK-A.,transitivo': descarogar.
AIPI.,"enchova, peixe da familia dos pomatonl- deos, genero Pomatonus. _.,.."
AIPI-MIXIRA.,"boaiao, peixe da falnllia dos esca rldeos, genero Scarus."
Al-PIXUNA.,"preguiga escura, mamlfero da familia dos bradipodideos, genero Bradypus."
AIPU-,"de aproximaçao: esse(a) (s), isso, aquele(a) (s)."
AIPO-BAE.,"de aproximaçao: esse(a)(s), aquele(a)(s), eis la,"
AIPC-BAN-A.,"transitivo: fiar, tecer."
AlPO-PE.,"de proximidade: ali, la."
AIR-A.,"transitivo: fazer inscrigoes em, riscar."
A-I-'RI,"miudo, pequeno."
AIRU-KATINGA.,variedade de papagaio.
AIRUR-0,"transitivo: riscar a boca,"
AIRY-KA-NDYBA t,sitio de palmeiras airi i
AIRY-KANGA,o coco do airi_
AIRY-KORE.,o cacho
AIRY-KORE.,"composto, multiplicado,"
A-Iu,"fibra, nervo, nervura."
A-lUA.,liso. h-lUBA
A-IUBA-,"1 cabelo loiro ou ruivo, 2 Que_i xo. Adjetivo: maduro (fruto que fica amarelo)."
A-lUBENA,esposo da filha ou da subrinha paterna ou da filha do primo (filho de tio paterno).
AlU-BYK-A,"transitivo: enforcar, enforcar-se, sufocar."
AlU-BIRA,"transitivo: levantar a cabega {o doen- te),"
AI-UQU.,papo. Adjetivo: papudo.
Al-OERA,preguiga-ladina ou esperta
A-lUKA ST—},veia-
A-IukA,"transitivo: amassar, sovar (a massa)"
A-IUKA-RAl,": oolar de dentes,"
A-lUKfi-UKAR-A.,transitivo: inandar matar.
A-IURA.,pescogo.
A-IUR'-AR-A,"transitivo: 1 lagar (pelo pescogo), lagar (em geral). 2 Inclinar a cabega de fraqueza."
A-lUR-i,"colo, pescocinho. 0 M i M e diminutivo, — anhur-i."
AlURU.,"papagaio, ave da familia dos psitaci- deos, genero Amazona"
AlURU-APARA.,variedade de papagaio
AlURU-ETE,"papagaio grego, ave da familia dos pstacideos, genero Amazona, Literalmente: papagaio verdadeiro."
AlRU-GOAgu,papagalo-moleiro.
AlURU-IUBA.,alcunha que os tupis davam ao fran ces e ao ingles Literalmente: papagaio dourado
AlURU-tUBA-KANGA.,"variedade de papagaio,"
AlURU-KATINGA,"variedade de papagaio,"
AlURU-KURAU.,"variedade de papagaio, da familia dos psitacideos, genero Psittacus."
AlURU-PY,"i cachaco, cervii:."
AlURU-PY,"Peciolo, talo."
AlURU-PY,"Gola,"
AIURU-UIBA-KANGA.,variedade de papagaio.
AlxE,"irma ou prima do pai, tia paterna."
AIXO,"irregular: sogra do homem. Prefere o indice ""g-” na 3a. pessoa."
AlYBA.,"queixo (de gente), queixada (de animai)."
AlY-BENA.,esposo da filha ou da sobrinha paterna ou da filha do primo (filho do tio pater - no).= axy-mena
A-lYKA,"duro, rijo."
A-lYKA,"nervo, veia."
AK.,"de aproximacao: este(a)i(sa, isto, eis aqui, eis que ji."
AKA.,"chifre, esporao, ponta. 2 0 espremido, sumo. Adjetivo: amargo."
AKA(XE>,predicativo: amargar.
AKA.,"galho, ramo."
AKAB-A.,"transitivo: brigar com, censurar, gritar com."
AKA^ANGA.,"duvidoso, indeciso."
AKAiE.,especie de gaviao.
AK-AE.,de aproximacao: aquele(a) (s) mesjao(a) (s).
AKA. I 1,: o! ai!
AKAlA.,"madre, utero."
AKAI-A.,transitivo: tocar.
AKA-I-ARA.,o que e chifrudo ou potente em chi-
AKA-I-ARA.,res.
"AKAlU. Botânica:! variedade de mogno. 2 Caju, fruto do caju- eiro, da familia das anacardiaceas, genero Anacar - dium",1 ano 2 Cauim ou vinho feito com o caju.
AKAlU-AKA. IA,castanha do caju.
AKAIU-TI.,castanha de caju.
AKAlU-TEBIRO.,caju estragado.
A. KA. IU-TYBA.,cajueiral.
AKAlU-Y.,vinho de caju.
AKAKA. B-A.,"transitivo: censurar, repreender."
AJIA-MBU-ACABA.,tfita.
AKA-MBU-AR-A.,"transitivo: enastrar, enlacar, entre- lagar."
AKA-MBY.,J vao entre as pernas. 2 Forquilha.
AKA MBYRA,"galho, rarao."
AKA-MOMBY-QYK-A.,"transitivo: enastrar, entrelacai# eniapar."
AKA-MUNDUKA.,febril.
A-KANGA.,cabeq: a.
A-KAN'-GA.,transitivos quebrar-a cabeça. Tra- ta-se da composiqao de a-kanga
A-KAN'-GA.,"ka, com abranda - mento do ""k"" em ""g""}."
A-KANGA-QOIABA.,carapuga de penas.
A-KANGA-QOIABA.,Chapeu.
A-KANGA-QY.,dor de cabega.
A-KANGA-GUA.,"cabega, saliencia. Adjetivo: ca- bequdo, saliente."
A-KANGA-GUA.,"cacete, clava, maga, porrete."
A-KANG'-AIBA.,cabelo crespo.
A-KANG'-aOba,carapuija. t Touca.
A-KANG'-AOBA-PUA.,"carapuca de penas. t Capace- te, chapeu, barrete, gorro. Em tupinamba e""a-kang- 6 ""."
A-KANG'-AOB'-U-RUPE.,chapeu.
A-KANGA-OlE-PEPIRA.,chapeu.
A-KANGA-O-RUNG-A.,t
A-KANGA-O-RUNG-A.,ansitivo:
A-KANGA-O-RUNG-A.,por touca em.
A-KANGA-PE.,o cancro.
A-KANGA-PIXAI.,carapinha.
A-KANG-PIXUNA.,carapinha.
A-KANG-PIXUNA.,pixai.
A-KANGA-T-ARA.,cocar.
A-KANG'-AYBA.,"cabega ma, doido."
A-KANG-E-KYl-A.,"transitivo: arrancar os cabelos de, puxar os cabelos de."
A-KANG'-I-APE.,craneo.
A-KANG'-I-T-ARA.,"cocar, diaderaa."
A-KANG'-I-U-T-ARA.,cocar.
A-KANG'-NHE.,pronominal: perder-se.
A-KANG'-OK-A-,transitivo: cortar ou arrancar os cabelos de.
A-KANG-UQU.,"cabega grande, cabegudo, cabega desgrenhada.: Nome de chefe."
A-KANG'-UERA.,caveira. Literalmente: cabega que foi.
A-KANG'-UERA.,variedade de gaviao.
A-KANG'-U-PABA.,cabeceira.
A-KANG'-U-PABA.,"Almofada, travesseiro."
A-KANG'-U-YRA.,"descorogoado, imobilizado de de- sanimo, inerte."
A-KA'-NHEM.,intransitivo: perder-se.
A-KAN'-NHINANA.,"a adoidada, a agitada, a de"
A-KAN'-NHINANA.,- lirante.
AKA-nuNDU',intransitivo: ter febre.
AKA-NUNDU'-BORA.,"febricitante, febril."
AKA-NUNDUKA.,febril.
AKAPE.,"1 chapa, pedago, posta.? Barriga, parede abdominal, ventre"
AKAPE.,"3 Mancha (de coisa exter na, como mato, campo, chao, madeira, carne, couro)."
AKA-PORA.,! o que esta dentro do chifre. 2 Sabu- go de milho.
AKA-PYRA,"ponta (de arvore, vara, etc.)."
AKARA.,"cara, peixe da familia dos ciclideos, genero Geophajus."
AKARA-AIA.,"peixe-cao, da familia dos caracideos varios generos, como Acestrorhamphus. e"
A-KARAI-A.,"transitivo: 1 cortar o cabelo de, tosquear. 2 Roer osso."
AKARA-MUKU.,"peixe-porco, da familia dos mona- cantideos, genero Monacanthus."
AKARA-PARAGOA.,"variedade de cara, por alguns chamado de acare-papagaio."
AKARA-PE-AgABA.,"variedade de sargo fluvial, da familia dos pomadasideos, genero Anisotremus."
AKARA-PEBA.,variedade de cara.
AKARA-PINIMA.,variedade de salema.
AKARA-PITANGA.,variedade de cara.
AKArA-PIXUNA.,variedade de cara.
AKARA-PUKU.,"acara comprido, longo ou esguio."
AKARA-TINGA.,variedade de cara.
AKARA-XIXA.,"aspero grosso, rugoso."
AKARA-UNA,variedade de acars.
AKARA-Y.,2 rio dos acaras.
AKARA-Y-EMBO.,o arroio dos acaras ou caras.
AKAR'-I.,"acara pequeno, da familia dbs cicll- deos, genero Loricaria."
A-KATU.,Jxitransitiva:; sair bem.
A-KA'-TYRA.,"capelo de ave, topete."
AKAYA.,"macuco,, ave da familia dos falquinldeos genero Herpetoteres. A lendadi"
AKAYA.,que ela se apodera do esplrito das mulheres e as obriga a cantar com ela as 'tres sllabas dei' seu nome.
AKA-I.,rio da
AKA-I.,"riga, rio da rixa."
AKAY-A.,"1 o fruto de caroqo cheio ou graudo, fruto que e todo carogo. 2 Caja, fruto da cajazeira, arvore da familia das anacardiaceas."
AKfii,: 5!
AKE-KE.,variedade de formiga.
AKIRA.,"cata-piolho, nome vulgar do dedo pole gar."
AKO.,"de aproximacao: este (a) (s), isto, eis aqui.= akue."
AKO-ABA.,: pelo do pubis (principalmente feminino). 2 Pubis. Adjetivo: pubere.
AKO-ABA(XE),intransitivo: pubescer.= ako-ab'- amo.
AKO-ABA-MO (XE): pubescer. = ako-u-ramo,intransitivo:
AKO-AE.,de aproximaqao: aquele mesmo.
AKO-AYKHA.,ingua das virilhas.
A-KOK—A.,transitivo: 1 fazer bolotas. 2 Abra- gar a cabeça de.
AKO-KUEQE.,anteontem.
AKOROI-A.,coalhado.
AKO-TI.,": cutia, (animal que se assenta para comer), da familia dos dasiproctideos, genero Dasyprocta."
AKO-TI-PURA.,":' esquilo ou caxin- gule, roedor da familia dos ciurideos, genero Sciu- rus."
AKO-TI-R-ANHA.,dente de cutia.
AKO-U-RAMO (XE),intrans-itivo: pubescer. =aka-aba-mo.
AKUA.,"a ponta, a esquina."
AKUAlA,"penis, partes sexuais do homem."
AKUAI' AIBA.,cancro.
AKUAI' BAE,macho.
AKUAI' PYTA.,pubis (linguagem dos homems).
AKUARA.,febre. Adjetivo: febril.
AKUARA(XE),factivo: estar com febre.
AKUBA.,"calor ou febre (de gente), quentura (de animal).,"
AKUBA.,"factivo: ser quente, estar com febre, ter ' febre."
AKUB' AlBA.,"morno, tibio."
AKU' BORA,"animoso, caloroso. Esquentado, quente. Substantivo: o que esta com febre."
AKOE.,"de aproximaqao: aquele(a)(s), eis que ja."
AKOEIA.,"de aproximacao: aquele(a)(s), eisque ja, eis que la, eis que entao."
AKOeIA-PE.,"de aproximacao: ai, ali, la, no lugar de que falamos."
AKUI.,"enxuto, seco."
AKUl-XAl,intransitivo: esboropoar-se.
AKU-PE.,predicativo: ser quente.
AKURA-S.,"baia, enseada, pogo de rio, remanso."
AKURE-I.,o que tem protuberancias. Adjetivo:
AKURE-I.,"agitado, sacudido.? Contendo calhaus ou seixos, encarocado."
AKURE-I,"transitivo: agitar, sacudir. Verbo: pro nominai: agitar-se, sacudir-se. Intransitivo: colear."
AKUTI.,"cutia, roedor. da familia dos dasiprocti- deos, genero Dasyprocta."
AKY!,-: 61 ai!
AKY-KY.,variedade de bugio.
AKY-MA.,variedade de bugio. Adjetivo: molhado.
AKY-PUEM-BO-URA,"rastro (vindo de), Ver bo transitivo: seguir o rastro de (vindo)."
AKY-PUE'-MO-MO-CEMA,rastro (acossando).
AKY-PUE'-MO-NDO.,rastro (indo). Verbo: transitivo: seguir o rastro de (indo).
AKY-PUERA.,"parte posterior, pegada, ras tro, vestigio."
AKYR-A,"cata-piolho, nome vulgar do polegaP,"
AKYR-A,.
AKYRA.,"novo, verde."
AKYRA-A.,"imaturo, verde."
AKYR'-ARA.,aborto. Adjetivo: abortivo.
AKY-TA.,grao. Adjetivo: curto.= a-poai.
AKY-T-ABA.,estreito no meio e largo nas extremi- dades.
AKY-TA-BUERA.<,"miudeza, resto."
AMA-BERABA.,"raio, relampago."
AMA-QUNUNGA,trovao.
AMAE-IO!,: o!
AMA-MAN-A.,"transitivo: enastrar, enlagar, entralagar."
AMA-MBYK-ABA.,"faixa, ti- ra."
AMA-MBYK-ABA.,Fim.
AMANA.,"agua de chuva, chuva, nuvem dagua."
AMAN-A.,"transitivo: amarrar, cercar, enrolar, envol- ver."
AMANA-IARA.,"manda-chuva, o senhor da chuva."
AMANA-TB.,reuniao.
